Word,Definition,Synonyms,Antonyms
Granular,,"coarse, gritty, farinaceous, grainy, coarse-grained, granulose, chondritic, mealy, sandy",achondritic
grateful,,"thankful, appreciative","ungrateful, unthankful"
Gratuitous,,"free, unnecessary, complimentary, unmerited, gratis, unneeded, needless, uncalled-for, unpaid, costless",
Gregarious,,"social, caespitose, clustered, cespitose, tufted",ungregarious
grieve,,"mourn, lament","rejoice, celebrate"
grim,,"stern, harsh","gentle, pleasant"
groan,,"moan, complain","rejoice, cheer"
gross,,"disgusting, crude","pleasant, refined"
guide,,"lead, direct","mislead, misguide"
Guttural,,"cacophonous, cacophonic, croaky, croaking, guttural consonant",
hail,,"greet, welcome","ignore, dismiss"
halt,,"stop, cease","continue, proceed"
hamper,,"hinder, obstruct","help, assist"
happy,,"joyful, cheerful","sad, miserable"
hardy,,"strong, robust","weak, frail"
harmonious,,"peaceful, agreeable","discordant, harsh"
Harmonious,,"sympathetic, congruent, appropriate, pure, true, congruous, consonant, compatible, symmetrical, proportionate, symphonic, harmonic","unharmonious, inharmonious"
harsh,,"rough, severe","gentle, mild"
hasten,,"hurry, rush","delay, slow"
haughty,,"proud, arrogant","humble, modest"
hazard,,"danger, risk","safety, security"
Hearth,,"fireplace, open fireplace, fireside",
heed,,"notice, observe","ignore, neglect"
Heeding,,,
Heedless,,"thoughtless, careless, regardless, unheeding, reckless","attentive, thoughtful, heedful"
Helix,,"coil, whorl, spiral, volute, genus helix",
helpless,,"weak, powerless","powerful, strong"
heroic,,"brave, courageous","cowardly, timid"
Hierarchical,,"stratified, graded, hierarchal, hierarchic, ranked, gradable, class-conscious","nonhierarchical, nonhierarchic"
hinder,,"obstruct, impede","help, assist"
Hinder,,"impede, obstruct, block, back, stymie, hamper, disadvantage, stymy, handicap, blockade, hind, embarrass",
Hinge,,flexible joint,
Hoax,,"fraud, dupery, put-on, fraudulence",
Hoes,,,
hoist,,"lift, raise","drop, lower"
honest,,"truthful, sincere","dishonest, deceitful"
honour,,"respect, esteem","dishonour, shame"
Hoof,,"foot, leg it, hoof it",
hostile,,"unfriendly, antagonistic","friendly, kind"
hostile,,"unfriendly, antagonistic","friendly, kind"
Hubris,,,
huge,,"enormous, immense","tiny, small"
humble,,"modest, meek","arrogant, proud"
humble,,"modest, meek","arrogant, proud"
humiliate,,"embarrass, shame","praise, honour"
hurry,,"rush, speed","delay, dawdle"
hush,,"quiet, silence","noise, sound"
hygienic,,"clean, sanitary","dirty, filthy"
ideal,,"perfect, flawless","imperfect, flawed"
Idiom,,"accent, dialect, phrase, parlance, set phrase, idiomatic expression, artistic style, phrasal idiom",
Idiosyncrasy,,"foible, mannerism",
idle,,"lazy, inactive","busy, industrious"
idle,,"lazy, inactive","busy, active"
Idol,,"paragon, graven image, perfection, beau ideal, matinee idol, god",
ignite,,"light, spark","extinguish, douse"
ignore,,"overlook, neglect","notice, heed"
illiterate,,"uneducated, ignorant","educated, literate"
illogical,,"irrational, unreasonable","logical, rational"
illuminate,,"light, brighten","darken, dim"
imagine,,"visualize, dream","ignore, disregard"
immature,,"childish, naive","mature, grown"
immense,,"huge, vast","tiny, small"
imminent,,"near, approaching","distant, far"
Imminent,,"close, impending, close at hand, at hand",
immune,,"resistant, protected","susceptible, vulnerable"
impartial,,"fair, unbiased","biased, unfair"
Impartial,,"indifferent, open, fair, dispassionate, disinterested, unbiased, unprejudiced, unbiassed, color-blind, colour-blind, nonracist","prejudiced, partial, discriminatory, unfair"
Impecunious,,"penurious, poor, pinched, hard up, penniless, in straitened circumstances",
Impermeable,,"rubber, water-resistant, water-repellent, rubberized",permeable
Implicate,,entail,
impolite,,"rude, discourteous","polite, courteous"
important,,"significant, vital","trivial, unimportant"
Impose,,"enforce, visit, levy, bring down, inflict",
Impoverished,,"destitute, indigent, needy, poor, destroyed, broken, necessitous, poverty-stricken, wiped out",
improve,,"enhance, develop","worsen, decline"
Imprudent,,"rash, blind, improvident, shortsighted, indiscreet, ill-judged, ill-considered, injudicious, ill-advised",prudent
Impudent,,"impertinent, insolent, fresh, saucy, forward, smart, overbold, disrespectful, snotty-nosed, flip",
inactive,,"idle, lazy","active, busy"
inadequate,,"insufficient, lacking","sufficient, adequate"
Inattentive,,"oblivious, dreamy, oscitant, absent, drowsy, moony, negligent, abstracted, scatty, uninterested, unheeding, distrait",attentive
Inaudible,,"silent, voiceless, unheard, breathed, ultrasonic, unsounded, unhearable, supersonic, infrasonic","audible, hearable"
Inaugural,,"initiative, maiden, opening, first, inauguration, initiatory, inaugural address",exaugural
Inaugurate,,"introduce, usher in, kick off",
inborn,,"innate, natural","acquired, learned"
incapable,,"unable, unfit","able, competent"
Incessant,,"perpetual, constant, continual, unceasing, endless, continuous, ceaseless, unremitting, uninterrupted, never-ending",
incline,,"lean, slope","decline, refuse"
Inconspicuous,,"obscure, invisible, unnoticeable","conspicuous, obvious"
increase,,"grow, expand","decrease, reduce"
Indolent,,"otiose, slothful, faineant, inactive, lazy, work-shy, idle",
industrious,,"hardworking, diligent","lazy, idle"
Industrious,,"diligent, energetic, enterprising, hardworking, tireless, untiring, gumptious, up-and-coming",
Inedible,,"poisonous, uneatable","comestible, edible, eatable"
inept,,"clumsy, unskilled","skilful, capable"
Ineptitude,,"ineptness, maladroitness, awkwardness, slowness, clumsiness",
Inexplicable,,"inscrutable, cryptic, incomprehensible, deep, mystifying, mysterious, paradoxical, cryptical, unaccountable, unexplainable, unexplained, self-contradictory",explicable
Infamy,,opprobrium,"renown, celebrity, fame"
Infatuate,,,
infect,,"contaminate, poison","heal, cure"
Inference,,illation,
inferior,,"lower, second-rate","superior, better"
Inferior,,"indifferent, base, wretched, modest, subordinate, deplorable, tawdry, common, coarse, deficient, woeful, bad","superordinate, adscript, superscript, higher-up, superior"
Infernal,,"evil, wicked, everlasting, chthonian, damn, lower, blessed, nether, chthonic, curst, blasted, diabolical",supernal
infinite,,"endless, boundless","finite, limited"
influence,,"sway, affect","follow, yield"
inhabit,,"live, occupy","vacate, leave"
Inhale,,breathe in,"exhale, expire, breathe out"
Injustice,,"iniquity, unjustness, unfairness","justice, justness"
innocent,,"blameless, pure","guilty, corrupt"
Innocuous,,"insipid, innocent, harmless, innoxious, inoffensive, uncontroversial, unobjectionable, safe","harmful, noxious"
insane,,"mad, crazy","sane, rational"
Insipia,,,
Insistent,,"imperative, exigent, continual, clamant, instant, crying, repetitive",
insolent,,"rude, disrespectful","polite, respectful"
Insolent,,"audacious, impudent, brazen, brassy, bodacious, barefaced, unashamed, disrespectful, brazen-faced, bold-faced, snotty-nosed, flip",
inspect,,"examine, check","ignore, overlook"
inspire,,"encourage, motivate","discourage, dishearten"
instant,,"immediate, prompt","delayed, slow"
Instigate,,"prompt, incite, inspire, set off, stir up",
Instructive,,"enlightening, didactic, informative, demonstrative, clarifying, expositive, doctrinaire, elucidative, educational, expository, didactical, explanatory","uninformative, unenlightening, uninstructive"
Intact,,"whole, inviolate, entire, uncastrated, uninjured, undamaged, unimpaired, integral",
Integral,,"intrinsic, inherent, intact, intrinsical, whole, constitutional, entire, inbuilt, built-in",
intelligent,,"clever, smart","stupid, foolish"
intense,,"strong, extreme","mild, weak"
Intercede,,"liaise, mediate, arbitrate",
interior,,"inside, inner","exterior, outside"
interrupt,,"disturb, intrude","continue, maintain"
intrepid,,"brave, fearless","fearful, cowardly"
Introvert,,"introverted, invaginate, introversive, introvertive","extrovert, extravert, sensitively"
Intuitive,,"visceral, natural, illogical, glandular, nonrational, unlogical",
invade,,"attack, intrude","withdraw, retreat"
invent,,"create, devise","copy, imitate"
invisible,,"unseen, hidden","visible, seen"
irate,,"angry, furious","calm, peaceful"
irregular,,"uneven, abnormal","regular, normal"
Irreverent,,"profane, spirited, impertinent, saucy, sacrilegious, impious, blasphemous, disrespectful, aweless, godless, awless, pert",reverent
isolate,,"separate, detach","join, unite"
jaded,,"weary, tired","energetic, fresh"
jargon,,"special language, slang","common speech, standard"
jealous,,"envious, resentful","content, trusting"
jeopardy,,"danger, risk","safety, security"
jocular,,"jolly, humorous","serious, solemn"
jolly,,"merry, cheerful","gloomy, miserable"
jovial,,"cheerful, merry","gloomy, miserable"
Jovial,,"mirthful, gay, joyous, jocund, merry, jolly",
jubilant,,"joyful, overjoyed","sad, depressed"
judge,,"decide, assess","ignore, neglect"
justify,,"explain, defend","condemn, blame"
juvenile,,"youthful, childish","mature, adult"
Keel,,"lurch, stagger, careen, swag, reel",
keen,,"eager, enthusiastic","apathetic, indifferent"
keen,,"eager, enthusiastic","reluctant, apathetic"
kin,,"family, relatives","strangers, outsiders"
kin,,"family, relatives","strangers, outsiders"
kind,,"caring, gentle","cruel, harsh"
kindle,,"ignite, start","extinguish, douse"
knack,,"skill, ability","inability, clumsiness"
knowledge,,"understanding, wisdom","ignorance, stupidity"
laborious,,"hard, difficult","easy, simple"
Lair,,den,
Lame,,"feeble, weak, crippled, spavined, unfit, cripple, halting, halt",
lament,,"mourn, grieve","celebrate, rejoice"
lament,,"mourn, grieve","celebrate, rejoice"
Lament,,"keen, wail, requiem, bemoan, elegy, dirge, regret, lamentation, deplore, plaint, threnody, bewail",
languid,,"weak, sluggish","energetic, lively"
Languish,,"ache, pine, long, yearn, waste, fade, pine away, yen",
large,,"big, huge","small, tiny"
lasting,,"enduring, permanent","temporary, brief"
laud,,"praise, commend","criticize, condemn"
Lavish,,"lush, rich, prodigal, plush, generous, munificent, shower, unsparing, plushy, unstinting, unstinted, overgenerous",
lawful,,"legal, legitimate","illegal, unlawful"
lazy,,"idle, sluggish","active, industrious"
ldyllic,,,
lead,,"guide, direct","follow, trail"
legible,,"readable, clear","illegible, unreadable"
lenient,,"gentle, tolerant","strict, harsh"
lenient,,"gentle, tolerant","strict, harsh"
Lenient,,"soft, indulgent, easy, permissive, undemanding, clement, lax",
lethal,,"deadly, fatal","harmless, safe"
lethargic,,"lazy, sluggish","energetic, active"
Lethargic,,"languid, lackadaisical, dazed, listless, languorous, dreamy, stuporous, groggy, foggy, logy, unergetic",energetic
Liable,,"responsible, nonresistant, unresistant, nonimmune, apt",
Liberal,,"free, broad, big, loose, generous, handsome, bountiful, tolerant, left, bounteous, giving, openhanded","conservativist, conservative"
liberate,,"free, release","confine, imprison"
lience,,,
Litigation,,,
lively,,"energetic, spirited","dull, lifeless"
lively,,"energetic, spirited","dull, lifeless"
lofty,,"tall, high","low, short"
Lofty,,"eminent, noble, impressive, exalted, high, proud, majestic, rarefied, towering, rarified, soaring, high-minded",
loiter,,"linger, dawdle","hasten, hurry"
lonely,,"isolated, alone","sociable, connected"
loyal,,"faithful, devoted","disloyal, unfaithful"
lucid,,"clear, understandable","confusing, obscure"
Lucrative,,"remunerative, profitable, moneymaking",
ludicrous,,"ridiculous, absurd","sensible, reasonable"
Luminary,,"notable, leading light, notability, guiding light",
Luminous,,"lucent, bright, lambent, aglow, glowing",
Lunar,,,
lure,,"attract, tempt","repel, discourage"
Lure,,"entice, hook, bait, tempt, enticement, decoy, sweetener, come-on",
Lustrous,,"glorious, bright, polished, burnished, shining, glistening, glossy, shiny, sheeny",
luxurious,,"lavish, grand","simple, plain"
Mace,,"macer, macebearer",
magnify,,"enlarge, expand","reduce, shrink"
magnify,,"enlarge, expand","reduce, shrink"
majestic,,"grand, splendid","ordinary, unimpressive"
malice,,"spite, hatred","kindness, goodwill"
Malice,,"spite, malevolence, venom, maliciousness, spitefulness, malevolency",
Malignant,,"malevolent, malign",
Malleable,,"pliant, pliable, elastic, tractable, tensile, ductile, tractile",
mandatory,,"compulsory, required","optional, voluntary"
Mare,,"female horse, maria",
marvel,,"wonder, astonishment","bore, dullness"
meagre,,"scanty, sparse","abundant, plentiful"
Meanders,,,
Meddle,,tamper,
mediate,,"intervene, negotiate","argue, ignore"
Mediocre,,"ordinary, bad, fair, inferior, average, poor, middling, second-rate",
meek,,"gentle, submissive","aggressive, bold"
meek,,"gentle, submissive","aggressive, bold"
Melancholic,,"melancholy, sad, melancholiac",
melancholy,,"sad, sorrowful","happy, joyful"
Melodious,,"dulcet, sweet, mellifluous, mellisonant, honeyed, canorous, melodic, cantabile, musical, tuneful, ariose, lyrical","tuneless, unmusical, unmelodic, unmelodious, untuneful"
mend,,"repair, fix","break, damage"
Mere,,"bare, simple",
Meticulous,,"fastidious, punctilious, precise",
mighty,,"powerful, strong","weak, feeble"
mimic,,"imitate, copy","originate, invent"
minor,,"small, insignificant","major, important"
minute,,"tiny, small","huge, large"
miserable,,"unhappy, gloomy","happy, cheerful"
miserly,,"stingy, mean","generous, liberal"
misfortune,,"bad luck, calamity","fortune, blessing"
Mitigating,,,
moderate,,"average, temperate","extreme, excessive"
modern,,"new, contemporary","old, ancient"
modify,,"change, alter","preserve, keep"
moist,,"damp, wet","dry, arid"
monarch,,"king, ruler","subject, follower"
Monochrome,,"black and white, monochromatic, colorful, monochromic, monochromous, colored, coloured",
monotonous,,"dull, repetitive","varied, interesting"
Monotonous,,"dull, humdrum, monotone, monotonic, unmusical, unmelodic, unmelodious",
moral,,"ethical, virtuous","immoral, wicked"
mourn,,"grieve, lament","celebrate, rejoice"
Munificence,,"magnanimity, largesse, largess, openhandedness",
Mute,,"dull, damp, inarticulate, silent, dumb, muffle, tone down, dampen, unspoken, unarticulate, wordless, deaden",
Muted,,"subdued, dull, soft, hushed, quiet, muffled, softened",
mystify,,"confuse, puzzle","clarify, explain"
naive,,"innocent, simple","worldly, experienced"
narrow,,"thin, tight","wide, broad"
native,,"local, indigenous","foreign, alien"
Nauseous,,"vile, loathsome, offensive, noisome, nauseating, sickening, unwholesome",
neat,,"tidy, orderly","messy, disorganized"
neat,,"tidy, orderly","messy, untidy"
necessary,,"essential, vital","unnecessary, trivial"
neglect,,"ignore, disregard","care, attend"
nervous,,"anxious, uneasy","calm, confident"
neutral,,"unbiased, impartial","biased, partial"
nimble,,"agile, quick","clumsy, slow"
Nobility,,"aristocracy, grandeur, noblesse, magnanimousness",
noble,,"honourable, dignified","dishonourable, shameful"
noble,,"honourable, dignified","dishonourable, shameful"
noisy,,"loud, rowdy","quiet, silent"
Nominal,,"minimal, formal, minimum, titular, nominative, specified, tokenish, token",real
normal,,"usual, ordinary","abnormal, unusual"
notable,,"remarkable, important","insignificant, unimportant"
notorious,,"infamous, disreputable","famous, reputable"
notorious,,"infamous, disreputable","famous, reputable"
Novice,,"initiate, tyro, beginner, beginning, tiro",
Nuance,,"subtlety, refinement, nicety, shade",
Nuisance,,"annoyance, botheration, bother, pain in the neck, pain in the ass, pain",
nurture,,"care, nourish","neglect, abandon"
obedient,,"compliant, dutiful","disobedient, rebellious"
obedient,,"dutiful, compliant","disobedient, rebellious"
Obfuscate,,,"elucidate, clarify, clear up"
Obligatory,,"indispensable, necessary, compulsory, prerequisite, required, imposed, bounden, mandatory, de rigueur",optional
Oblige,,"compel, hold, accommodate, bind, obligate",disoblige
Oblong,,"simple, long, rounded, unsubdivided",
obscure,,"unclear, vague","clear, obvious"
obscure,,"unclear, vague","clear, obvious"
Obscure,,"dark, incomprehensible, indeterminate, mist, vague, obliterate, inconspicuous, fog, isolated, inglorious, unknown, hide","elucidate, clear, illuminate, clarify, enlighten, shed light on, crystallize, sort out, straighten out, clear up"
obstacle,,"barrier, hindrance","aid, support"
Obstinate,,"contrary, obdurate, perverse, stubborn, unrepentant, wayward, disobedient, cussed, unregenerate, unreconstructed, unregenerated",
obtain,,"get, acquire","lose, forfeit"
obvious,,"clear, evident","unclear, hidden"
offend,,"insult, upset","please, compliment"
omit,,"leave out, exclude","include, insert"
Omit,,"neglect, overlook, miss, drop, exclude, leave out, take out, leave off, overleap, except","include, attend to, take to heart"
Omnivore,,,
Onerous,,"heavy, burdensome, taxing",
opponent,,"enemy, rival","friend, ally"
opportune,,"timely, suitable","untimely, unsuitable"
optimistic,,"hopeful, positive","pessimistic, negative"
optimistic,,"hopeful, positive","pessimistic, negative"
Orator,,"rhetorician, speechmaker, public speaker",
Ordained,,"settled, dedicated, consecrate, appointed, consecrated, prescribed, decreed",
Ordeal,,,
ordinary,,"normal, usual","extraordinary, unusual"
Oscillate,,vibrate,
Ostentatious,,"conspicuous, pretentious, kitsch, showy, tasteless, splashy, flaunty","unpretentious, unostentatious"
outgoing,,"friendly, sociable","shy, reserved"
outlaw,,"criminal, bandit","citizen, lawful"
outrage,,"anger, fury","calm, delight"
outspoken,,"frank, candid","silent, reserved"
outstanding,,"remarkable, exceptional","ordinary, common"
overcome,,"defeat, conquer","surrender, yield"
overjoyed,,"delighted, elated","sad, miserable"
overlook,,"ignore, neglect","notice, observe"
overt,,"obvious, clear","hidden, covert"
overt,,"obvious, clear","hidden, concealed"
Pacifist,,"pacifistic, pacificist, disarmer",
pacify,,"calm, soothe","anger, enrage"
Pact,,"accord, treaty",
painstaking,,"careful, diligent","careless, negligent"
Palpable,,"tangible, obvious, perceptible",impalpable
paltry,,"trivial, meagre","significant, substantial"
parade,,"display, show","hide, conceal"
pardon,,"forgive, excuse","blame, punish"
partial,,"biased, prejudiced","fair, impartial"
passive,,"inactive, submissive","active, assertive"
Passive,,"supine, peaceful, inactive, resistless, nonviolent, unresisting, passive voice","active, active voice"
pathetic,,"pitiful, sad","impressive, admirable"
patient,,"tolerant, enduring","impatient, intolerant"
patriot,,"loyalist, nationalist","traitor, betrayer"
peaceful,,"calm, tranquil","violent, aggressive"
peculiar,,"strange, odd","normal, ordinary"
Perchance,,"peradventure, perhaps, possibly, maybe, by chance",
peril,,"danger, risk","safety, security"
Peril,,"queer, expose, menace, jeopardize, jeopardy, danger, scupper, imperil, endanger, threaten, riskiness, hazard",
perilous,,"dangerous, risky","safe, secure"
Perilous,,"precarious, parlous, dangerous, unsafe, touch-and-go",
Peripheral,,"marginal, incident, incidental, circumferential, off-base, fringy, peripheral device, computer peripheral",central
permanent,,"lasting, enduring","temporary, brief"
Perpetuate,,,
perplex,,"confuse, puzzle","clarify, explain"
Perplexed,,"bewildered, bemused, baffled, befuddled, confounded, nonplussed, lost, confused, quizzical, mystified, questioning, puzzled",unperplexed
persevere,,"persist, continue","quit, give up"
persuade,,"convince, influence","dissuade, discourage"
pertinent,,"relevant, related","irrelevant, unrelated"
pessimistic,,"negative, hopeless","optimistic, hopeful"
petty,,"trivial, insignificant","important, significant"
Pew,,church bench,
pierce,,"stab, puncture","mend, close"
Pillage,,"foray, plunder, swag, reave, booty, loot, strip, prize, ransack, despoil, rifle, plundering",
Pious,,"sanctimonious, reverent, devout, religious, godly, self-righteous, devotional, worshipful, pharisaical, pietistic, god-fearing, prayerful",impious
Pivotal,,"crucial, important, polar",
Placate,,"assuage, conciliate, appease, mollify, gruntle, pacify, lenify, gentle",
placid,,"calm, peaceful","agitated, disturbed"
Plaintiff,,complainant,"accused, defendant, suspect"
Plausible,,"glib, slick, pat, probable, credible, presumptive, verisimilar, believable, convincing, arguable, equiprobable, likely","implausible, improbable, unlikely"
Plenary,,comprehensive,
plentiful,,"abundant, ample","scarce, limited"
Plethora,,"nimiety, superfluity, embarrassment, overplus",
plight,,"difficulty, hardship","blessing, fortune"
Plummet,,"plump, plumb, plumb bob",
plunder,,"rob, steal","give, donate"
poised,,"balanced, composed","clumsy, awkward"
polish,,"shine, brighten","dull, tarnish"
polite,,"courteous, respectful","rude, impolite"
ponder,,"think, reflect","ignore, neglect"
Ponder,,"ruminate, contemplate, speculate, mull, reflect, mull over, meditate, chew over, think over, muse",
Ponderous,,"heavy, lumbering, uninteresting, heavy-footed",
popular,,"well-liked, admired","unpopular, disliked"
Porous,,"porose, permeable, leaky, holey, poriferous",nonporous
portable,,"movable, transportable","immovable, fixed"
positive,,"confident, optimistic","negative, pessimistic"
possible,,"likely, feasible","impossible, unlikely"
poverty,,"need, hardship","wealth, prosperity"
Pragmatic,,"practical, realistic, hard-nosed, pragmatical, hardheaded, matter-of-fact",
Precarious,,"uneasy, perilous, parlous, unstable, dangerous, shaky, insecure, unsafe, touch-and-go",
precaution,,"care, safeguard","neglect, recklessness"
precede,,"come before, lead","follow, succeed"
Precedent,,"case in point, common law, case law",
precious,,"valuable, dear","worthless, cheap"
precious,,"valuable, treasured","worthless, valueless"
precise,,"exact, accurate","imprecise, vague"
Precocious,,"advanced, early, gifted, talented",retarded
predicament,,"difficulty, dilemma","solution, advantage"
Predilection,,"penchant, preference, taste",
Predominantly,,preponderantly,
prefer,,"choose, favour","reject, dislike"
Prejudice,,"prepossess, bias",
Prejudiced,,"subjective, loaded, jaundiced, discriminatory, racist, sexist, antiblack, anti-semitic","impartial, unprejudiced"
Prelude,,"overture, preliminary",
premature,,"early, untimely","late, delayed"
prepare,,"ready, equip","neglect, ignore"
preserve,,"maintain, protect","neglect, abandon"
pretend,,"fake, feign","genuine, real"
prevent,,"stop, hinder","allow, permit"
primary,,"main, chief","secondary, minor"
primitive,,"ancient, basic","modern, advanced"
proceed,,"continue, advance","stop, cease"
proclaim,,"announce, declare","hide, conceal"
procrastinate,,"delay, postpone","hasten, hurry"
Profess,,"concede, confess",
profound,,"deep, intense","superficial, shallow"
prohibit,,"forbid, ban","allow, permit"
Prohibit,,"forbid, proscribe, veto, interdict, disallow","countenance, allow, permit, let"
Prominence,,"bulge, hump, excrescence, protrusion, protuberance, extrusion, gibbosity, gibbousness, bump, jut",obscurity
prominent,,"famous, notable","unknown, obscure"
Prominent,,"conspicuous, salient, obvious, large, big, outstanding, striking, spectacular",
prosper,,"flourish, succeed","fail, decline"
Prosper,,"flourish, expand, boom, thrive, get ahead, fligh high",
Prosperous,,"halcyon, auspicious, propitious, rich, easy, comfortable, favorable, happy, favourable, golden, encouraging, flourishing",
protect,,"guard, defend","endanger, harm"
Protract,,"extend, prolong, draw out",
proud,,"arrogant, vain","humble, modest"
Prudence,,"discretion, circumspection, discreetness",imprudence
prudent,,"wise, careful","reckless, careless"
prudent,,"careful, wise","reckless, careless"
Prudent,,"sensible, judicious, provident, wise, discreet, circumspect, prudential",imprudent
punctual,,"on time, prompt","late, tardy"
Pungent,,"acrid, hot, sarcastic, spicy, barbed, nipping, alliaceous, biting, peppery, garlicky, gingery",bland
pursue,,"follow, chase","flee, escape"
quaint,,"old-fashioned, curious","modern, ordinary"
Quaint,,"strange, unusual, old-time, nonmodern",
Quandary,,"plight, dilemma, predicament",
Quarantine,,,
quarrel,,"argument, dispute","agreement, harmony"
quarrel,,"argument, dispute","agreement, harmony"
Quarry,,"prey, fair game, pit, stone pit, target",
quench,,"satisfy, extinguish","ignite, kindle"
quench,,"extinguish, satisfy","ignite, start"
query,,"question, inquiry","answer, reply"
quiet,,"silent, calm","noisy, loud"
quiet,,"silent, calm","noisy, loud"
quizzical,,"puzzled, questioning","certain, sure"
Quondary,,,
radiant,,"bright, shining","dull, dim"
rage,,"anger, fury","calm, peace"
Ramification,,"fork, complication, branching, forking",
Ransack,,"foray, plunder, reave, comb, loot, strip, pillage, despoil, rifle",
rapid,,"fast, swift","slow, sluggish"
rapid,,"fast, quick","slow, sluggish"
rare,,"uncommon, unusual","common, usual"
Rarity,,"curiosity, oddity, peculiarity, oddment, curio, tenuity, rareness, infrequency, low density",
rash,,"reckless, hasty","careful, cautious"
rational,,"logical, sensible","illogical, unreasonable"
ravage,,"destroy, ruin","protect, preserve"
Ravenous,,"esurient, rapacious, voracious, ravening, sharp-set, edacious, gluttonous, famished, hungry, starved, wolfish",
Reap,,"draw, glean, harvest",
rebel,,"revolt, resist","obey, comply"
rebuke,,"scold, reprimand","praise, commend"
recall,,"remember, recollect","forget, ignore"
recede,,"retreat, withdraw","advance, approach"
Recede,,"withdraw, retreat, retire, pull back, pull away, draw back, drop off, fall back, lose, move back, fall behind","advance, pass on, win, make headway, move on, get ahead, march on, go on, gain ground, gain, progress"
Receptacle,,,
Recite,,"tell, recount, declaim, spin, narrate, retell",
reckless,,"careless, rash","careful, cautious"
reckless,,"careless, rash","careful, cautious"
recommend,,"advise, suggest","dissuade, discourage"
reduce,,"lessen, diminish","increase, enlarge"
Reel,,"lurch, stagger, careen, keel, whirl, swag, gyrate, bobbin, waggle, spin, spool, spin around",
refined,,"polished, cultured","crude, rough"
refuse,,"decline, reject","accept, agree"
regret,,"repent, remorse","rejoice, satisfaction"
reign,,"rule, govern","serve, obey"
rejoice,,"celebrate, delight","mourn, grieve"
Relegate,,"break, bar, submit, banish, pass on, demote, kick downstairs, bump","advance, promote, elevate, raise, upgrade, kick upstairs"
relentless,,"unyielding, harsh","lenient, merciful"
reliable,,"dependable, trustworthy","unreliable, untrustworthy"
reluctant,,"unwilling, hesitant","willing, eager"
Reluctant,,"loath, unwilling, disinclined, uneager, loth",
remarkable,,"notable, extraordinary","ordinary, common"
remedy,,"cure, solution","disease, problem"
Remnant,,"oddment, end, remainder, leftover, scrap",
Remnants,,,
remote,,"distant, far","near, close"
renew,,"revive, refresh","destroy, end"
repel,,"drive away, resist","attract, welcome"
Repelled,,,
Repercussions,,,
replenish,,"refill, restore","empty, drain"
reply,,"answer, respond","ignore, silence"
represent,,"symbolize, depict","conceal, misrepresent"
Reprieve,,"respite, abatement, hiatus, suspension",
Reprimand,,"rebuke, chide, berate, scold, censure, check, remonstrate, lecture, reproval, reproof, lambaste, lambast",
reproach,,"blame, scold","praise, commend"
repulsive,,"disgusting, revolting","attractive, pleasant"
Res,,,
rescue,,"save, deliver","abandon, endanger"
resent,,"dislike, begrudge","welcome, accept"
reside,,"live, dwell","move, depart"
Residue,,"rest, residuum, remainder, residual",
resolute,,"determined, firm","weak, hesitant"
Resonant,,"reverberant, ringing, resonating, resounding, reverberative, reverberating, rolling",
respect,,"honour, esteem","disrespect, insult"
Respite,,"break, reprieve, relief, rest, abatement, hiatus, suspension, time out, rest period, recess",
responsible,,"reliable, trustworthy","irresponsible, careless"
restrain,,"hold back, suppress","release, free"
Retort,,"riposte, return, rejoinder, come back, rejoin, comeback, repay",
retreat,,"withdraw, recede","advance, approach"
Retrieve,,"recall, think, recover, find, remember, regain, call back, remind, call up, recollect","block, blank out, draw a blank, forget"
reveal,,"disclose, expose","conceal, hide"
revenge,,"vengeance, retaliation","forgiveness, pardon"
Reverence,,"veneration, venerate, awe, fear, revere",irreverence
reverse,,"opposite, invert","maintain, continue"
Revile,,"rail, vituperate, vilify",
revolt,,"uprising, rebellion","obedience, submission"
reward,,"prize, gift","penalty, punishment"
Rhapsody,,,
rich,,"wealthy, affluent","poor, needy"
ridiculous,,"absurd, laughable","serious, reasonable"
rigid,,"stiff, inflexible","flexible, bendy"
rigid,,"stiff, inflexible","flexible, bendable"
riot,,"uproar, disturbance","peace, calm"
rise,,"ascend, climb","fall, descend"
rival,,"competitor, opponent","ally, partner"
robust,,"strong, sturdy","weak, fragile"
robust,,"strong, sturdy","weak, fragile"
Rogue,,"varlet, rascal, knave, rapscallion, scallywag, scalawag",
rude,,"impolite, disrespectful","polite, courteous"
Ruffian,,"tough, bully, rowdy, hooligan, yobbo, roughneck, yob, yobo",
ruthless,,"cruel, merciless","kind, compassionate"
sacred,,"holy, divine","profane, unholy"
sacred,,"holy, divine","profane, unholy"
Sacrifice,,"give, forfeit, forfeiture, ritual killing",
sadden,,"depress, upset","cheer, delight"
safeguard,,"protect, defend","endanger, expose"
sage,,"wise, learned","foolish, ignorant"
Sage,,"chromatic, wise, guru, mahatma, sage-green, colored, salvia",
salvage,,"rescue, recover","lose, abandon"
Sanction,,"countenance, authority, endorsement, warrant, okay, imprimatur, approve, ok","reject, disapprove"
Sanctity,,holiness,unholiness
satisfy,,"fulfil, please","dissatisfy, displease"
savage,,"ferocious, brutal","gentle, mild"
scarce,,"rare, sparse","plentiful, abundant"
Scarcity,,scarceness,"abundance, copiousness"
scatter,,"disperse, spread","gather, collect"
Sceptical,,"incredulous, distrustful, skeptical, questioning, doubting, disbelieving, unbelieving",
Scholastic,,"pedant, bookworm",
